Main URL,Base URL,Link,Custom Link,Vehicle Name,Status,Price,Miles,Join Details,VIN,Stock,MPG CIty,MPG Highway,Engine,Transmission,Image src,Local Image Path,Dealer href,Dealer Text,Views Text,Dealer Detail full Name,Dealer Detail google map,Dealer Detail Telephone,Dealer Detail Listing No,Dealer Detail  Listing Status,Dealer Detail Link,Dealer Detail Website Link,Dealer Detail About Text,Dealer Detail About Details
https://driverbase.com/inventory/dealer?dealershipId=42453,https://driverbase.com,/vehicle/27153405/2017-ford-focus-in-houston-tx/1FADP3FE0HL221051,https://driverbase.com/vehicle/27153405/2017-ford-focus-in-houston-tx/1FADP3FE0HL221051,2017 FORD Focus SE,Preowned,"$9,995","83,060 Miles","Miles, I3 1.00L, , MPG: City , Highway:, VIN: 1FADP3FE0HL221051, Stock: P9731, 2 days, 16",1FADP3FE0HL221051,P9731,, Highway:,N/A,N/A,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",uploads/single_image/2017_FORD_Focus_SE_1FADP3FE0HL221051_P9731.jpg,https://driverbase.com/dealers/id/42453,"Tommie Vaughn Motors, Inc., Houston, TX",2 days,16,"Tommie Vaughn Motors, Inc.","1201 N Shepherd Dr, Houston, TX 77008, USA",(832) 742-1177,"97 Cars, Trucks and SUVs For Sale near Houston, TX","0 new, 97 used, 0 certified pre-owned",https://driverbase.com/inventory/dealer?dealershipId=42453,https://www.tommievaughnmotors.com/,"About Tommie Vaughn Motors, Inc. in Houston, TX","Tommie Vaughn Motors, Inc. is a Houston, TX based dealership. Shop 97 cars, trucks and suvs for sale or learn more about this highly rated car dealership in TX. Need help deciding which car to buy next? Take our car quiz and get personalized vehicle recommendations in seconds. Set your driving preferences, rate a current vehicle and rank all available cars, trucks and suvs for sale near Houston, TX."
https://driverbase.com/inventory/dealer?dealershipId=42453,https://driverbase.com,/vehicle/27143795/2023-chevrolet-tahoe-in-houston-tx/1GNSCNKD0PR551961,https://driverbase.com/vehicle/27143795/2023-chevrolet-tahoe-in-houston-tx/1GNSCNKD0PR551961,2023 Chevrolet Tahoe LT,Preowned,"$51,836","21,704 Miles","Miles, V8 5.30L, , MPG: City , Highway:, VIN: 1GNSCNKD0PR551961, Stock: R5433938A, 2 days, 12",1GNSCNKD0PR551961,R5433938A,, Highway:,N/A,N/A,http://img.leaddelivery.net/images/1FADP3FE0HL221051/Original/9415669644.jpg?s=0000-2068,uploads/single_image/2023_Chevrolet_Tahoe_LT_1GNSCNKD0PR551961_R5433938A.jpg,https://driverbase.com/dealers/id/42453,"Tommie Vaughn Motors, Inc., Houston, TX",2 days,12,"Tommie Vaughn Motors, Inc.","1201 N Shepherd Dr, Houston, TX 77008, USA",(832) 742-1177,"97 Cars, Trucks and SUVs For Sale near Houston, TX","0 new, 97 used, 0 certified pre-owned",https://driverbase.com/inventory/dealer?dealershipId=42453,https://www.tommievaughnmotors.com/,"About Tommie Vaughn Motors, Inc. in Houston, TX","Tommie Vaughn Motors, Inc. is a Houston, TX based dealership. Shop 97 cars, trucks and suvs for sale or learn more about this highly rated car dealership in TX. Need help deciding which car to buy next? Take our car quiz and get personalized vehicle recommendations in seconds. Set your driving preferences, rate a current vehicle and rank all available cars, trucks and suvs for sale near Houston, TX."
https://driverbase.com/inventory/dealer?dealershipId=42453,https://driverbase.com,/vehicle/27142564/2017-chevrolet-express-in-houston-tx/1GAZGMFG2H1251468,https://driverbase.com/vehicle/27142564/2017-chevrolet-express-in-houston-tx/1GAZGMFG2H1251468,2017 Chevrolet Express LT 3500,Preowned,"$28,804","47,733 Miles","Miles, V8 6.00L, , MPG: City , Highway:, VIN: 1GAZGMFG2H1251468, Stock: RKB19885A, 2 days, 12",1GAZGMFG2H1251468,RKB19885A,, Highway:,N/A,N/A,http://img.leaddelivery.net/images/1FADP3FE0HL221051/Original/9415669644.jpg?s=0000-2068,uploads/single_image/2017_Chevrolet_Express_LT_3500_1GAZGMFG2H1251468_RKB19885A.jpg,https://driverbase.com/dealers/id/42453,"Tommie Vaughn Motors, Inc., Houston, TX",2 days,12,"Tommie Vaughn Motors, Inc.","1201 N Shepherd Dr, Houston, TX 77008, USA",(832) 742-1177,"97 Cars, Trucks and SUVs For Sale near Houston, TX","0 new, 97 used, 0 certified pre-owned",https://driverbase.com/inventory/dealer?dealershipId=42453,https://www.tommievaughnmotors.com/,"About Tommie Vaughn Motors, Inc. in Houston, TX","Tommie Vaughn Motors, Inc. is a Houston, TX based dealership. Shop 97 cars, trucks and suvs for sale or learn more about this highly rated car dealership in TX. Need help deciding which car to buy next? Take our car quiz and get personalized vehicle recommendations in seconds. Set your driving preferences, rate a current vehicle and rank all available cars, trucks and suvs for sale near Houston, TX."
https://driverbase.com/inventory/dealer?dealershipId=42453,https://driverbase.com,/vehicle/27142210/2019-ford-f-150-in-houston-tx/1FTEW1C49KKF15322,https://driverbase.com/vehicle/27142210/2019-ford-f-150-in-houston-tx/1FTEW1C49KKF15322,2019 FORD F-150 XLT,Preowned,"$31,995","29,471 Miles","Miles, V6 3.50L, , MPG: City , Highway:, VIN: 1FTEW1C49KKF15322, Stock: RFB81752A, 2 days, 15",1FTEW1C49KKF15322,RFB81752A,, Highway:,N/A,N/A,http://img.leaddelivery.net/images/1FADP3FE0HL221051/Original/9415669644.jpg?s=0000-2068,uploads/single_image/2019_FORD_F_150_XLT_1FTEW1C49KKF15322_RFB81752A.jpg,https://driverbase.com/dealers/id/42453,"Tommie Vaughn Motors, Inc., Houston, TX",2 days,15,"Tommie Vaughn Motors, Inc.","1201 N Shepherd Dr, Houston, TX 77008, USA",(832) 742-1177,"97 Cars, Trucks and SUVs For Sale near Houston, TX","0 new, 97 used, 0 certified pre-owned",https://driverbase.com/inventory/dealer?dealershipId=42453,https://www.tommievaughnmotors.com/,"About Tommie Vaughn Motors, Inc. in Houston, TX","Tommie Vaughn Motors, Inc. is a Houston, TX based dealership. Shop 97 cars, trucks and suvs for sale or learn more about this highly rated car dealership in TX. Need help deciding which car to buy next? Take our car quiz and get personalized vehicle recommendations in seconds. Set your driving preferences, rate a current vehicle and rank all available cars, trucks and suvs for sale near Houston, TX."
https://driverbase.com/inventory/dealer?dealershipId=42453,https://driverbase.com,/vehicle/27119200/2017-ram-1500-in-houston-tx/1C6RR6PT8HS569928,https://driverbase.com/vehicle/27119200/2017-ram-1500-in-houston-tx/1C6RR6PT8HS569928,2017 Ram 1500 Laramie Limited,Preowned,"$25,333","89,900 Miles","Miles, V8 5.70L, , MPG: City , Highway:, VIN: 1C6RR6PT8HS569928, Stock: REE05892C, 4 days, 18",1C6RR6PT8HS569928,REE05892C,, Highway:,N/A,N/A,http://img.leaddelivery.net/images/1FADP3FE0HL221051/Original/9415669644.jpg?s=0000-2068,uploads/single_image/2017_Ram_1500_Laramie_Limited_1C6RR6PT8HS569928_REE05892C.jpg,https://driverbase.com/dealers/id/42453,"Tommie Vaughn Motors, Inc., Houston, TX",4 days,18,"Tommie Vaughn Motors, Inc.","1201 N Shepherd Dr, Houston, TX 77008, USA",(832) 742-1177,"97 Cars, Trucks and SUVs For Sale near Houston, TX","0 new, 97 used, 0 certified pre-owned",https://driverbase.com/inventory/dealer?dealershipId=42453,https://www.tommievaughnmotors.com/,"About Tommie Vaughn Motors, Inc. in Houston, TX","Tommie Vaughn Motors, Inc. is a Houston, TX based dealership. Shop 97 cars, trucks and suvs for sale or learn more about this highly rated car dealership in TX. Need help deciding which car to buy next? Take our car quiz and get personalized vehicle recommendations in seconds. Set your driving preferences, rate a current vehicle and rank all available cars, trucks and suvs for sale near Houston, TX."
https://driverbase.com/inventory/dealer?dealershipId=42453,https://driverbase.com,/vehicle/27117316/2022-ford-f-250-in-houston-tx/1FT8W2BT5NEF40202,https://driverbase.com/vehicle/27117316/2022-ford-f-250-in-houston-tx/1FT8W2BT5NEF40202,2022 FORD F-250 LARIAT,Preowned,"$66,728","33,082 Miles","Miles, V8 6.70L, , MPG: City , Highway:, VIN: 1FT8W2BT5NEF40202, Stock: REA68073A, 4 days, 18",1FT8W2BT5NEF40202,REA68073A,, Highway:,N/A,N/A,http://img.leaddelivery.net/images/1FADP3FE0HL221051/Original/9415669644.jpg?s=0000-2068,uploads/single_image/2022_FORD_F_250_LARIAT_1FT8W2BT5NEF40202_REA68073A.jpg,https://driverbase.com/dealers/id/42453,"Tommie Vaughn Motors, Inc., Houston, TX",4 days,18,"Tommie Vaughn Motors, Inc.","1201 N Shepherd Dr, Houston, TX 77008, USA",(832) 742-1177,"97 Cars, Trucks and SUVs For Sale near Houston, TX","0 new, 97 used, 0 certified pre-owned",https://driverbase.com/inventory/dealer?dealershipId=42453,https://www.tommievaughnmotors.com/,"About Tommie Vaughn Motors, Inc. in Houston, TX","Tommie Vaughn Motors, Inc. is a Houston, TX based dealership. Shop 97 cars, trucks and suvs for sale or learn more about this highly rated car dealership in TX. Need help deciding which car to buy next? Take our car quiz and get personalized vehicle recommendations in seconds. Set your driving preferences, rate a current vehicle and rank all available cars, trucks and suvs for sale near Houston, TX."
https://driverbase.com/inventory/dealer?dealershipId=42453,https://driverbase.com,/vehicle/27117244/2023-ford-explorer-in-houston-tx/1FMSK7FH3PGB14354,https://driverbase.com/vehicle/27117244/2023-ford-explorer-in-houston-tx/1FMSK7FH3PGB14354,2023 FORD Explorer Limited,Preowned,"$34,631","29,719 Miles","Miles, I4 2.30L, , MPG: City , Highway:, VIN: 1FMSK7FH3PGB14354, Stock: PGA84385A, 4 days, 12",1FMSK7FH3PGB14354,PGA84385A,, Highway:,N/A,N/A,http://img.leaddelivery.net/images/1FADP3FE0HL221051/Original/9415669644.jpg?s=0000-2068,uploads/single_image/2023_FORD_Explorer_Limited_1FMSK7FH3PGB14354_PGA84385A.jpg,https://driverbase.com/dealers/id/42453,"Tommie Vaughn Motors, Inc., Houston, TX",4 days,12,"Tommie Vaughn Motors, Inc.","1201 N Shepherd Dr, Houston, TX 77008, USA",(832) 742-1177,"97 Cars, Trucks and SUVs For Sale near Houston, TX","0 new, 97 used, 0 certified pre-owned",https://driverbase.com/inventory/dealer?dealershipId=42453,https://www.tommievaughnmotors.com/,"About Tommie Vaughn Motors, Inc. in Houston, TX","Tommie Vaughn Motors, Inc. is a Houston, TX based dealership. Shop 97 cars, trucks and suvs for sale or learn more about this highly rated car dealership in TX. Need help deciding which car to buy next? Take our car quiz and get personalized vehicle recommendations in seconds. Set your driving preferences, rate a current vehicle and rank all available cars, trucks and suvs for sale near Houston, TX."
https://driverbase.com/inventory/dealer?dealershipId=42453,https://driverbase.com,/vehicle/27114556/2020-toyota-camry-in-houston-tx/4T1C11AK1LU505666,https://driverbase.com/vehicle/27114556/2020-toyota-camry-in-houston-tx/4T1C11AK1LU505666,2020 TOYOTA Camry LE,Preowned,"$20,992","50,806 Miles","Miles, I4 2.50L, , MPG: City , Highway:, VIN: 4T1C11AK1LU505666, Stock: R5429612A, 4 days, 15",4T1C11AK1LU505666,R5429612A,, Highway:,N/A,N/A,http://img.leaddelivery.net/images/1FADP3FE0HL221051/Original/9415669644.jpg?s=0000-2068,uploads/single_image/2020_TOYOTA_Camry_LE_4T1C11AK1LU505666_R5429612A.jpg,https://driverbase.com/dealers/id/42453,"Tommie Vaughn Motors, Inc., Houston, TX",4 days,15,"Tommie Vaughn Motors, Inc.","1201 N Shepherd Dr, Houston, TX 77008, USA",(832) 742-1177,"97 Cars, Trucks and SUVs For Sale near Houston, TX","0 new, 97 used, 0 certified pre-owned",https://driverbase.com/inventory/dealer?dealershipId=42453,https://www.tommievaughnmotors.com/,"About Tommie Vaughn Motors, Inc. in Houston, TX","Tommie Vaughn Motors, Inc. is a Houston, TX based dealership. Shop 97 cars, trucks and suvs for sale or learn more about this highly rated car dealership in TX. Need help deciding which car to buy next? Take our car quiz and get personalized vehicle recommendations in seconds. Set your driving preferences, rate a current vehicle and rank all available cars, trucks and suvs for sale near Houston, TX."
https://driverbase.com/inventory/dealer?dealershipId=42453,https://driverbase.com,/vehicle/27114020/2024-ford-f-250-in-houston-tx/1FT8W2BT3RED96509,https://driverbase.com/vehicle/27114020/2024-ford-f-250-in-houston-tx/1FT8W2BT3RED96509,2024 FORD F-250 LARIAT,Preowned,"$79,999","3,910 Miles","Miles, V8 6.70L, , MPG: City , Highway:, VIN: 1FT8W2BT3RED96509, Stock: R5426683A, 4 days, 12",1FT8W2BT3RED96509,R5426683A,, Highway:,N/A,N/A,http://img.leaddelivery.net/images/1FADP3FE0HL221051/Original/9415669644.jpg?s=0000-2068,uploads/single_image/2024_FORD_F_250_LARIAT_1FT8W2BT3RED96509_R5426683A.jpg,https://driverbase.com/dealers/id/42453,"Tommie Vaughn Motors, Inc., Houston, TX",4 days,12,"Tommie Vaughn Motors, Inc.","1201 N Shepherd Dr, Houston, TX 77008, USA",(832) 742-1177,"97 Cars, Trucks and SUVs For Sale near Houston, TX","0 new, 97 used, 0 certified pre-owned",https://driverbase.com/inventory/dealer?dealershipId=42453,https://www.tommievaughnmotors.com/,"About Tommie Vaughn Motors, Inc. in Houston, TX","Tommie Vaughn Motors, Inc. is a Houston, TX based dealership. Shop 97 cars, trucks and suvs for sale or learn more about this highly rated car dealership in TX. Need help deciding which car to buy next? Take our car quiz and get personalized vehicle recommendations in seconds. Set your driving preferences, rate a current vehicle and rank all available cars, trucks and suvs for sale near Houston, TX."
https://driverbase.com/inventory/dealer?dealershipId=42453,https://driverbase.com,/vehicle/27111579/2023-ford-f-150-in-houston-tx/1FTFW1E8XPFA02570,https://driverbase.com/vehicle/27111579/2023-ford-f-150-in-houston-tx/1FTFW1E8XPFA02570,2023 FORD F-150 Lariat,Preowned,"$49,319","56,315 Miles","Miles, V6 3.50L, , MPG: City , Highway:, VIN: 1FTFW1E8XPFA02570, Stock: REA29510A, 4 days, 12",1FTFW1E8XPFA02570,REA29510A,, Highway:,N/A,N/A,http://img.leaddelivery.net/images/1FADP3FE0HL221051/Original/9415669644.jpg?s=0000-2068,uploads/single_image/2023_FORD_F_150_Lariat_1FTFW1E8XPFA02570_REA29510A.jpg,https://driverbase.com/dealers/id/42453,"Tommie Vaughn Motors, Inc., Houston, TX",4 days,12,"Tommie Vaughn Motors, Inc.","1201 N Shepherd Dr, Houston, TX 77008, USA",(832) 742-1177,"97 Cars, Trucks and SUVs For Sale near Houston, TX","0 new, 97 used, 0 certified pre-owned",https://driverbase.com/inventory/dealer?dealershipId=42453,https://www.tommievaughnmotors.com/,"About Tommie Vaughn Motors, Inc. in Houston, TX","Tommie Vaughn Motors, Inc. is a Houston, TX based dealership. Shop 97 cars, trucks and suvs for sale or learn more about this highly rated car dealership in TX. Need help deciding which car to buy next? Take our car quiz and get personalized vehicle recommendations in seconds. Set your driving preferences, rate a current vehicle and rank all available cars, trucks and suvs for sale near Houston, TX."
