Dealer ID,Dealer Name,Phone,Address,City,State,Custom Address,Dealer Iframe Map,Zip Code,About Dealer,Dealer Image,Radius,Rating,Review Count,Invnetory Link
D-24787021,Statewide Auto Sales,N/A,5346 Darling St,Houston,TX,"Houston, TX",N/A,77007,"Great deal, great car. I have been driving the car for 60+ days and haven't had any issues. Everyone is super nice and very helpful!",https://static1.cargurus.com/gfx/dealersnearme/dealer_logo_placeholder.png,0 mi,5.0,5,https://www.cargurus.com/Cars/m-Statewide-Auto-Sales-sp453340,1,1
D-24787022,Reliable Auto Sales,N/A,"4802 Larkin St,  Suite A",Houston,TX,"Houston, TX",N/A,77007,Yes he made me aware of the price and the condition of the truck and that he would work with me to get me what I wanted,https://static1.cargurus.com/gfx/dealersnearme/dealer_logo_placeholder.png,1 mi,4.3,3,https://www.cargurus.com/Cars/m-Reliable-Auto-Sales-sp378127,1,1
D-24787023,Grubbs Volvo Cars Central Houston,N/A,7620 Washington Ave,Houston,TX,"Houston, TX",N/A,77007,"Terrible experience all around. The salesman forgot my name twice, would not work with me regarding pricing or payment, and when I asked 
them to cease contact did not honor that wish.",https://static.cargurus.com/images/site/2023/08/07/10/07/grubbs_volvo_cars_central_houston-pic-1790534206663456094-200x200.jpeg,1 mi,4.1,9,https://www.cargurus.com/Cars/m-Grubbs-Volvo-Cars-Central-Houston-sp445281,1,1
D-24787024,Uptown Motor Cars,N/A,1132 N Shepherd Dr,Houston,TX,"Houston, TX",N/A,77008,"Fantastic experience! Kam was very patient and honest throughout the entire process. We came down from College Station to look at a vehicle. He was very straightforward and honest with what they could offer from a price & trade in value. It was a very fair offer, and he went above and beyond by replacing a torn piece of upholstery, doing a fresh oil change, and helping us with title issues with our previous car. We've had the car a few days, and we are very happy.",https://static.cargurus.com/images/site/2021/10/08/13/19/uptown_motor_cars-pic-15853898166512794058-200x200.jpeg,1 mi,4.9,7,https://www.cargurus.com/Cars/m-Uptown-Motor-Cars-sp289602,1,1
D-24787025,Tommie Vaughn Ford,N/A,1201 N Shepherd Dr,Houston,TX,"Houston, TX",N/A,77008,No reviews available,No image,1 mi,5.0,2,https://www.cargurus.com/Cars/m-Tommie-Vaughn-Ford-sp334047,1,1
D-24787026,Star Motor Cars,N/A,7000 Katy Road,Houston,TX,"Houston, TX",N/A,77024,Responded immediately,https://static.cargurus.com/images/site/2022/03/23/17/07/star_motor_cars-pic-1043178816096321543-200x200.jpeg,1 mi,5.0,7,https://www.cargurus.com/Cars/m-Star-Motor-Cars-sp64552,1,1
D-24787027,Aston Martin Houston,N/A,7000 Katy Rd,Houston,TX,"Houston, TX",N/A,77024,"Tom Duer, Sales Manager, is an all star!",https://static.cargurus.com/images/site/2022/09/23/11/03/aston_martin_houston-pic-10550176904900875523-200x200.jpeg,1 mi,5.0,1,https://www.cargurus.com/Cars/m-Aston-Martin-Houston-sp448491,1,1
D-24787028,Jaguar Land Rover Houston Central,N/A,7019 Old Katy Rd,Houston,TX,"Houston, TX",N/A,77024,They were very responsive and helpful,https://static1.cargurus.com/gfx/dealersnearme/dealer_logo_placeholder.png,2 mi,4.4,11,https://www.cargurus.com/Cars/m-Jaguar-Land-Rover-Houston-Central-sp284661,1,1
D-24787029,Fuentes Truck and Auto Sales,N/A,1501 W 15th St,Houston,TX,"Houston, TX",N/A,77008,Appreciate the test ride.,https://static.cargurus.com/images/site/2018/03/30/11/09/fuentes_truck_and_auto_sales-pic-5413599389629029070-200x200.jpeg,2 mi,5.0,1,https://www.cargurus.com/Cars/m-Fuentes-Truck-and-Auto-Sales-sp397591,1,1
D-24787030,Texas Izi Auto,N/A,3216 Washington Ave,Houston,TX,"Houston, TX",N/A,77007,Returned call -very cordial,https://static1.cargurus.com/gfx/dealersnearme/dealer_logo_placeholder.png,2 mi,4.8,8,https://www.cargurus.com/Cars/m-Texas-Izi-Auto-sp446378,1,1
D-24787031,Heights Motor Credit,N/A,625 North Loop W,Houston,TX,"Houston, TX",N/A,77008,Very professional,https://static.cargurus.com/images/site/2020/04/04/11/14/heights_motor_credit-pic-12724168732666214191-200x200.jpeg,3 mi,3.8,20,https://www.cargurus.com/Cars/m-Heights-Motor-Credit-sp407599,1,1
D-24787032,National Auto Group,N/A,2218 North Loop West,Houston,TX,"Houston, TX",N/A,77018,This dealership responded in a timely manner. I'm the only one holding up the deal.,https://static.cargurus.com/images/site/2024/09/10/11/43/national_auto_group-pic-2252147420225960868-200x200.jpeg,3 mi,5.0,4,https://www.cargurus.com/Cars/m-National-Auto-Group-sp432668,1,1
D-24787033,Polestar Houston,N/A,1111 Uptown Park Blvd,Houston,TX,"Houston, TX",N/A,77056,No reviews available,https://static.cargurus.com/images/site/2024/10/28/14/54/polestar_houston-pic-10533383404382785107-200x200.jpeg,3 mi,N/A,N/A,https://www.cargurus.com/Cars/m-Polestar-Houston-sp455296,1,1
D-24787034,Direct Car Company,N/A,333 North Loop West,Houston,TX,"Houston, TX",N/A,77008,"I think someone called. I did call them. The conversation was very brief. Their no hassle price on an 8 years old car with 3 owners and one accident was not going to change. I 
asked if their price was set, they said, ""yes"" I wish I had more to say. But, that was the total of what happened.  With this NO HASSLE pricing (which is what the dealer says 
the car is worth) there is no talking. It's either basically,  Their way or No way!!  That is all dealer's using no hassle pricing..",https://static1.cargurus.com/gfx/dealersnearme/dealer_logo_placeholder.png,3 mi,4.6,11,https://www.cargurus.com/Cars/m-Direct-Car-Company-sp432200,1,1
D-24787035,Post Oak Motor Cars,N/A,1530 West Loop,Houston,TX,"Houston, TX",N/A,77027,We had a GREAT experience with this dealership! Our sales associate Max was outstanding! He was very patient and kind and attentive to our needs. We are very pleased with our purchase and would definitely choose them in the future on our next vehicle purchase.,https://static.cargurus.com/images/site/2024/08/09/13/06/post_oak_motor_cars-pic-8629968833121823850-200x200.jpeg,3 mi,4.3,6,https://www.cargurus.com/Cars/m-Post-Oak-Motor-Cars-sp238348,1,1
D-24787036,Mobilease Auto Sales,N/A,3815 Dacoma Street,Houston,TX,"Houston, TX",N/A,77092,"Friendly sales associate, actually went and got the van from the Chevy dealership that was performing some service on the vehicle, so 
that I could come look at the van while I was in the area for other appointments.",https://static.cargurus.com/images/site/2017/11/29/12/32/mobilease_auto_sales-pic-5280559911735687120-200x200.jpeg,3 mi,5.0,3,https://www.cargurus.com/Cars/m-Mobilease-Auto-Sales-sp376662,1,1
D-24787037,GoAuto,N/A,1502 W 34th St,Houston,TX,"Houston, TX",N/A,77018,"I went to the address they gave me and when I 
got there there was no car dealership or car 
company in that place then I called the phone 
number again someone answered and said this 
address is wrong then he gave me the other 
address to go and I actually went to the new 
address but they were closed and after that I tried 
calling again and again he didn't answer the calls 
.   and today, July 6 someone call me from go 
auto and he was rude and not nice and he lie to 
me.  and there is a lot of details so what Iâm trying 
to say that this dealership is not professional And 
liar and rude and   Untrustworthy. + his foxy.",https://static.cargurus.com/images/site/2018/10/08/11/52/goauto-pic-5811619847297469802-200x200.jpeg,3 mi,4.3,6,https://www.cargurus.com/Cars/m-GoAuto-sp411151,1,1
D-24787038,Texas Bus Sales,N/A,1605 West 34th St.,Houston,TX,"Houston, TX",N/A,77206,No reviews available,No image,3 mi,N/A,N/A,https://www.cargurus.com/Cars/m-Texas-Bus-Sales-sp380287,1,1
D-24787039,Ella Blvd Motors,N/A,3401 Ella Blvd,Houston,TX,"Houston, TX",N/A,77018,They did respond right away with an email and all the info I needed.,https://static.cargurus.com/images/site/2020/08/21/12/22/ella_blvd_motors-pic-1011352813318949237-200x200.jpeg,3 mi,5.0,2,https://www.cargurus.com/Cars/m-Ella-Blvd-Motors-sp319726,1,1
D-24787040,Knapp Chevrolet,N/A,815 Houston Ave,Houston,TX,"Houston, TX",N/A,77007,Good,https://static.cargurus.com/images/site/2017/07/13/10/27/knapp_chevrolet__inc_-pic-8338474593457235737-1600x1200.png,3 mi,3.1,8,https://www.cargurus.com/Cars/m-Knapp-Chevrolet-sp53544,1,1
D-24787041,Auto Icon,N/A,423 E 29th St,Houston,TX,"Houston, TX",N/A,77008,No reviews available,https://static.cargurus.com/images/site/2016/06/06/19/25/auto_icon-pic-5345762944659680892-200x200.jpeg,3 mi,N/A,N/A,https://www.cargurus.com/Cars/m-Auto-Icon-sp345655,1,1
D-24787042,Momentum Volkswagen of Upper Kirby,N/A,2405 Richmond Ave,Houston,TX,"Houston, TX",N/A,77098,"Javier was amazing, smoothest and fastest car shopping experience. Highly recommend!",https://static.cargurus.com/images/site/2022/07/28/16/58/momentum_volkswagen_of_upper_kirby-pic-16187901033834331179-200x200.jpeg,3 mi,4.2,13,https://www.cargurus.com/Cars/m-Momentum-Volkswagen-of-Upper-Kirby-sp63105,1,1
D-24787043,Helfman Alfa Romeo,N/A,7720 Katy Freeway,Houston,TX,"Houston, TX",N/A,77024,No reviews available,https://static1.cargurus.com/gfx/dealersnearme/dealer_logo_placeholder.png,3 mi,N/A,N/A,https://www.cargurus.com/Cars/m-Helfman-Alfa-Romeo-sp302136,1,1
D-24787044,Helfman Dodge Chrysler Jeep Ram,N/A,7720 Katy Freeway,Houston,TX,"Houston, TX",N/A,77024,They responded promptly and answered my questions,https://static1.cargurus.com/gfx/dealersnearme/dealer_logo_placeholder.png,3 mi,5.0,6,https://www.cargurus.com/Cars/m-Helfman-Dodge-Chrysler-Jeep-Ram-sp284660,1,1
D-24787045,Helfman Maserati,N/A,"7720 Katy Fwy,  Houston TX 77024 United States",Houston,TX,"Houston, TX",N/A,77024,No reviews available,No image,3 mi,N/A,N/A,https://www.cargurus.com/Cars/m-Helfman-Maserati-sp447939,1,1
D-24787046,AMC Trucks,N/A,6519 Long Point Rd,Houston,TX,"Houston, TX",N/A,77055,No reviews available,https://static.cargurus.com/images/site/2024/06/26/11/22/amc_trucks-pic-10035273823076945744-200x200.jpeg,3 mi,N/A,N/A,https://www.cargurus.com/Cars/m-AMC-Trucks-sp454160,1,1
D-24787047,Auto-x autosales,N/A,803 N Loop Fwy,Houston,TX,"Houston, TX",N/A,77022,Very helpful and responsive. Was not aware of previous accident on vehicle. That is the only reason we couldn't make a deal.,https://static1.cargurus.com/gfx/dealersnearme/dealer_logo_placeholder.png,3 mi,4.3,3,https://www.cargurus.com/Cars/m-Auto-x-autosales-sp452215,1,1
D-24787048,Audi Central Houston,N/A,2120 Southwest Freeway,Houston,TX,"Houston, TX",N/A,77098,"Great great experience Andre , Christian , and their finance manager were amazing and helped me effortlessly to get me in a car. I would highly recommend taking them to buy your next car. Amazing service and great customer service !",https://static1.cargurus.com/gfx/dealersnearme/dealer_logo_placeholder.png,3 mi,5.0,3,https://www.cargurus.com/Cars/m-Audi-Central-Houston-sp342841,1,1
